Block,Treatment.ID,Plate.ID,Worm,Death.Date,Cause ,D1,Age ,Event,Exp,Inf
1,daf,1,1,20-Feb,M,16-Feb,4,1,0,0
1,daf,1,2,21-Feb,W,16-Feb,5,0,0,0
1,daf,1,3,21-Feb,L,16-Feb,5,0,0,0
1,daf,1,4,24-Feb,D,16-Feb,8,1,0,0
1,daf,1,5,25-Feb,E,16-Feb,9,0,1,0
1,daf,1,6,2-Mar,D,16-Feb,14,1,0,0
1,daf,1,7,7-Mar,D,16-Feb,19,1,0,0
1,ev,2,1,21-Feb,M,16-Feb,5,1,0,0
1,ev,2,2,3-Mar,D,16-Feb,15,1,0,0
1,ev,2,3,4-Mar,D,16-Feb,16,1,0,1
1,ev,2,4,5-Mar,D,16-Feb,17,1,0,1
1,ev,2,5,6-Mar,D,16-Feb,18,1,0,1
1,ev,2,6,7-Mar,D,16-Feb,19,1,0,1
1,ev,2,7,8-Mar,D,16-Feb,20,1,0,0
1,ev,2,8,8-Mar,D,16-Feb,20,1,0,0
1,ev,2,9,8-Mar,D,16-Feb,20,1,0,1
1,daf,3,1,21-Feb,M,16-Feb,5,1,0,0
1,daf,3,2,2-Mar,D,16-Feb,14,1,0,0
1,daf,3,3,5-Mar,D,16-Feb,17,1,0,0
1,daf,3,4,6-Mar,D,16-Feb,18,1,0,0
1,daf,3,5,6-Mar,D,16-Feb,18,1,0,0
1,daf,3,6,6-Mar,D,16-Feb,18,1,0,0
1,daf,3,7,8-Mar,D,16-Feb,20,1,0,0
1,daf,3,8,9-Mar,D,16-Feb,21,1,0,1
1,daf,3,9,9-Mar,D,16-Feb,21,1,0,1
1,daf,3,10,9-Mar,D,16-Feb,21,1,0,1
1,daf,3,11,11-Mar,D,16-Feb,23,1,0,1
1,ev,4,1,22-Feb,M,16-Feb,6,1,0,0
1,ev,4,2,22-Feb,M,16-Feb,6,1,0,0
1,ev,4,3,22-Feb,M,16-Feb,6,1,0,0
1,ev,4,4,1-Mar,D,16-Feb,13,1,0,0
1,ev,4,5,5-Mar,D,16-Feb,17,1,0,1
1,ev,4,6,9-Mar,D,16-Feb,21,1,0,0
1,ev,4,7,12-Mar,D,16-Feb,24,1,0,0
1,ev,4,8,13-Mar,D,16-Feb,25,1,0,0
1,daf,5,1,22-Feb,M,16-Feb,6,1,0,0
1,daf,5,2,02-Mar,D,16-Feb,14,1,0,0
1,daf,5,3,02-Mar,D,16-Feb,14,1,0,0
1,daf,5,4,5-Mar,D,16-Feb,17,1,0,0
1,daf,5,5,7-Mar,D,16-Feb,19,1,0,0
1,daf,5,6,8-Mar,D,16-Feb,20,1,0,0
1,daf,5,7,9-Mar,D,16-Feb,21,1,0,0
1,daf,5,8,13-Mar,D,16-Feb,25,1,0,0
1,ev,6,1,22-Feb,L,16-Feb,6,0,0,0
1,ev,6,2,3-Mar,D,16-Feb,15,1,0,0
1,ev,6,3,4-Mar,D,16-Feb,16,1,0,0
1,ev,6,4,4-Mar,D,16-Feb,16,1,0,0
1,ev,6,5,7-Mar,D,16-Feb,19,1,0,0
1,ev,6,6,9-Mar,D,16-Feb,21,1,0,0
1,ev,6,7,9-Mar,D,16-Feb,21,1,0,0
1,ev,6,8,9-Mar,D,16-Feb,21,1,0,0
1,daf,7,1,22-Feb,M,16-Feb,6,1,0,0
1,daf,7,2,22-Feb,M,16-Feb,6,1,0,0
1,daf,7,3,5-Mar,D,16-Feb,17,1,0,0
1,daf,7,4,6-Mar,D,16-Feb,18,1,0,0
1,daf,7,5,9-Mar,D,16-Feb,21,1,0,0
1,daf,7,6,13-Mar,D,16-Feb,25,1,0,0
1,daf,7,7,14-Mar,D,16-Feb,26,1,0,0
1,daf,7,8,20-Mar,D,16-Feb,32,1,0,0
1,ev,8,1,21-Feb,M,16-Feb,5,1,0,0
1,ev,8,2,26-Feb,D,16-Feb,10,1,0,0
1,ev,8,3,8-Mar,D,16-Feb,20,1,0,0
1,ev,8,4,9-Mar,D,16-Feb,21,1,0,0
1,ev,8,5,11-Mar,D,16-Feb,23,1,0,0
1,ev,8,6,11-Mar,D,16-Feb,23,1,0,0
1,ev,8,7,14-Mar,D,16-Feb,26,1,0,0
1,ev,8,8,15-Mar,D,16-Feb,27,1,0,0
1,ev,9,1,21-Feb,M,16-Feb,5,1,0,0
1,ev,9,2,21-Feb,M,16-Feb,5,1,0,0
1,ev,9,3,22-Feb,D,16-Feb,6,1,0,0
1,ev,9,4,2-Mar,D,16-Feb,14,1,0,0
1,ev,9,5,6-Mar,D,16-Feb,18,1,0,0
1,ev,9,6,8-Mar,D,16-Feb,20,1,0,0
1,ev,9,7,8-Mar,D,16-Feb,20,1,0,0
1,ev,9,8,8-Mar,D,16-Feb,20,1,0,0
1,ev,9,9,9-Mar,D,16-Feb,21,1,0,0
1,ev,10,1,24-Feb,M,16-Feb,8,1,0,0
1,ev,10,2,8-Mar,D,16-Feb,20,1,0,0
1,ev,10,3,9-Mar,D,16-Feb,21,1,0,0
1,ev,10,4,11-Mar,D,16-Feb,23,1,0,0
1,ev,10,5,11-Mar,D,16-Feb,23,1,0,0
1,ev,10,6,11-Mar,D,16-Feb,23,1,0,0
1,ev,10,7,12-Mar,D,16-Feb,24,1,0,0
1,ev,10,8,12-Mar,D,16-Feb,24,1,0,0
1,ev,10,9,13-Mar,D,16-Feb,25,1,0,0
1,ev,10,10,15-Mar,D,16-Feb,27,1,0,0
1,ev,11,1,20-Feb,L,16-Feb,4,0,0,0
1,ev,11,2,4-Mar,D,16-Feb,16,1,0,0
1,ev,11,3,4-Mar,D,16-Feb,16,1,0,0
1,ev,11,4,5-Mar,D,16-Feb,17,1,0,0
1,ev,11,5,6-Mar,D,16-Feb,18,1,0,0
1,ev,11,6,7-Mar,D,16-Feb,19,1,0,0
1,ev,11,7,8-Mar,D,16-Feb,20,1,0,0
1,ev,11,8,10-Mar,D,16-Feb,22,1,0,0
1,ev,11,9,11-Mar,D,16-Feb,23,1,0,0
1,ev,11,10,11-Mar,D,16-Feb,23,1,0,0
1,daf,12,1,21-Feb,M,16-Feb,5,1,0,0
1,daf,12,2,24-Feb,M,16-Feb,8,1,0,0
1,daf,12,3,2-Mar,D,16-Feb,14,1,0,0
1,daf,12,4,5-Mar,D,16-Feb,17,1,0,0
1,daf,12,5,7-Mar,D,16-Feb,19,1,0,0
1,daf,12,6,8-Mar,D,16-Feb,20,1,0,0
1,daf,12,7,8-Mar,D,16-Feb,20,1,0,0
1,daf,12,8,8-Mar,D,16-Feb,20,1,0,0
1,daf,12,9,11-Mar,D,16-Feb,23,1,0,0
1,daf,12,10,15-Mar,D,16-Feb,27,1,0,0
1,ev,13,1,21-Feb,M,16-Feb,5,1,0,0
1,ev,13,2,22-Feb,L,16-Feb,6,0,0,0
1,ev,13,3,22-Feb,L,16-Feb,6,0,0,0
1,ev,13,4,22-Feb,L,16-Feb,6,0,0,0
1,ev,13,5,22-Feb,L,16-Feb,6,0,0,0
1,ev,13,6,24-Feb,M,16-Feb,8,1,0,0
1,ev,13,7,6-Mar,D,16-Feb,18,1,0,0
1,ev,13,8,7-Mar,D,16-Feb,19,1,0,0
1,ev,13,9,8-Mar,D,16-Feb,20,1,0,0
1,ev,13,10,8-Mar,D,16-Feb,20,1,0,0
1,ev,13,11,9-Mar,D,16-Feb,21,1,0,0
1,daf,14,1,21-Feb,M,16-Feb,5,1,0,0
1,daf,14,2,21-Feb,M,16-Feb,5,1,0,0
1,daf,14,3,24-Feb,L,16-Feb,8,0,0,0
1,daf,14,4,28-Feb,D,16-Feb,12,1,0,0
1,daf,14,5,28-Feb,D,16-Feb,12,1,0,0
1,daf,14,6,1-Mar,D,16-Feb,13,1,0,0
1,daf,14,7,2-Mar,D,16-Feb,14,1,0,0
1,daf,14,8,4-Mar,D,16-Feb,16,1,0,1
1,daf,14,9,4-Mar,D,16-Feb,16,1,0,1
1,ev,15,1,21-Feb,M,16-Feb,5,1,0,0
1,ev,15,2,21-Feb,M,16-Feb,5,1,0,0
1,ev,15,3,1-Mar,D,16-Feb,13,1,0,0
1,ev,15,4,2-Mar,D,16-Feb,14,1,0,0
1,ev,15,5,4-Mar,D,16-Feb,16,1,0,0
1,ev,15,6,4-Mar,D,16-Feb,16,1,0,0
1,ev,15,7,4-Mar,D,16-Feb,16,1,0,0
1,ev,15,8,6-Mar,D,16-Feb,18,1,0,0
1,ev,15,9,9-Mar,D,16-Feb,21,1,0,0
1,ev,15,10,13-Mar,D,16-Feb,25,1,0,0
1,daf,16,1,20-Feb,M,16-Feb,4,1,0,0
1,daf,16,2,21-Feb,M,16-Feb,5,1,0,0
1,daf,16,3,27-Feb,M,16-Feb,11,1,0,0
1,daf,16,4,28-Feb,L,16-Feb,12,0,0,0
1,daf,16,5,28-Feb,L,16-Feb,12,0,0,0
1,daf,16,6,28-Feb,L,16-Feb,12,0,0,0
1,daf,16,7,1-Mar,D,16-Feb,13,1,0,0
1,daf,16,8,2-Mar,W,16-Feb,14,0,0,0
1,daf,16,9,2-Mar,L,16-Feb,14,0,0,1
1,daf,16,10,4-Mar,D,16-Feb,16,1,0,1
1,daf,17,1,22-Feb,M,16-Feb,6,1,0,0
1,daf,17,2,22-Feb,M,16-Feb,6,1,0,0
1,daf,17,3,24-Feb,M,16-Feb,8,1,0,0
1,daf,17,4,28-Feb,M,16-Feb,12,1,0,0
1,daf,17,5,5-Mar,D,16-Feb,17,1,0,1
1,daf,17,6,6-Mar,D,16-Feb,18,1,0,1
1,daf,17,7,8-Mar,D,16-Feb,20,1,0,1
1,daf,17,8,9-Mar,D,16-Feb,21,1,0,1
1,daf,17,9,11-Mar,D,16-Feb,23,1,0,1
1,daf,17,10,11-Mar,D,16-Feb,23,1,0,0
1,daf,18,1,24-Feb,M,16-Feb,8,1,0,0
1,daf,18,2,2-Mar,D,16-Feb,14,1,0,0
1,daf,18,3,5-Mar,D,16-Feb,17,1,0,0
1,daf,18,4,5-Mar,D,16-Feb,17,1,0,0
1,daf,18,5,7-Mar,D,16-Feb,19,1,0,0
1,daf,18,6,9-Mar,D,16-Feb,21,1,0,1
1,daf,18,7,9-Mar,D,16-Feb,21,1,0,1
1,daf,18,8,9-Mar,D,16-Feb,21,1,0,1
1,daf,18,9,9-Mar,D,16-Feb,21,1,0,1
1,daf,18,10,16-Mar,D,16-Feb,28,1,0,0
1,ev,19,1,20-Feb,M,16-Feb,4,1,0,0
1,ev,19,2,27-Feb,W,16-Feb,11,0,0,0
1,ev,19,3,28-Feb,W,16-Feb,12,0,0,0
1,ev,19,4,28-Feb,L,16-Feb,12,0,0,0
1,ev,19,5,1-Mar,D,16-Feb,13,1,0,0
1,ev,19,6,3-Mar,L,16-Feb,15,0,0,0
1,ev,19,7,4-Mar,D,16-Feb,16,1,0,0
1,ev,19,8,6-Mar,D,16-Feb,18,1,0,1
1,ev,19,9,7-Mar,D,16-Feb,19,1,0,1
1,ev,19,10,9-Mar,D,16-Feb,21,1,0,1
1,daf,20,1,22-Feb,M,16-Feb,6,1,0,0
1,daf,20,2,9-Mar,D,16-Feb,21,1,0,0
1,daf,20,3,9-Mar,D,16-Feb,21,1,0,0
1,daf,20,4,10-Mar,D,16-Feb,22,1,0,0
1,daf,20,5,10-Mar,D,16-Feb,22,1,0,0
1,daf,20,6,10-Mar,D,16-Feb,22,1,0,0
1,daf,20,7,13-Mar,D,16-Feb,25,1,0,0
1,daf,20,8,15-Mar,D,16-Feb,27,1,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
